area,bedrooms,age,price
1470,4,54,135000
1728,3,5,207500
974,3,16,93500
1567,1,0,264561
864,2,51,115000
2119,3,37,158000
2000,3,3,305900
1224,2,0,164500
2784,5,28,250000
2192,4,69,179500
2060,3,10,214000
913,3,41,129000
752,2,26,125000
1647,3,8,175000
1274,3,2,203000
1466,3,47,149900
864,2,38,97000
2320,3,62,259500
747,1,80,79900
1392,3,53,121500
2158,4,57,243000
2020,3,0,402861
1600,3,10,169000
1006,3,49,80000
1484,3,2,178900
1200,2,6,184900
858,3,35,88000
848,1,4,131500
708,2,69,82500
1432,2,29,194000
1228,3,42,149350
1362,3,88,128000
1852,3,0,252678
1702,1,0,367294
999,3,44,134500
2524,4,28,278000
1654,3,4,230000
924,3,58,122900
1804,3,11,189000
2727,3,75,315000
1977,4,43,165000
1968,4,39,172000
1069,2,31,140000
1112,3,34,85000
1474,3,14,168500
1452,2,89,113000
1040,2,56,109500
1344,3,89,147000
1836,3,5,280000
987,2,37,118000
1928,5,90,160000
1675,3,10,181000
1456,3,3,176000
2007,3,1,310000
1792,2,3,374000
1525,3,7,177000
1489,3,69,139500
672,2,68,113000
914,2,10,148000
2320,2,58,169000
894,3,32,142500
924,2,69,80000
1502,3,0,233170
1626,2,5,154000
2262,4,5,305000
1964,4,97,130000
965,3,41,119900
1635,3,84,210000
1494,3,6,221000
1872,3,18,241500
720,2,89,34900
2127,4,16,238000
1616,2,15,236500
1855,3,31,187000
1428,3,0,227680
1154,3,88,125500
1716,4,46,171000
1484,3,36,175000
1302,3,37,106000
1425,3,44,180500
1181,3,36,137500
1241,1,1,199900
1641,3,81,178000
1200,1,41,146000
1855,4,52,136900
1787,3,5,275000
1732,3,25,178000
848,1,4,144500
1689,3,0,248328
778,2,68,120500
2290,4,125,122500
1743,3,39,175000
1040,3,48,127000
1509,3,3,180000
1437,3,50,168000
1800,3,9,179000
900,3,43,122000
1593,3,4,193000
894,3,45,138500
840,3,77,87000
996,3,68,108000
1644,3,56,167000
605,2,87,86000
960,2,87,108500
630,1,36,81000
1142,3,31,134000
1656,3,50,215000
1196,2,91,109900
1679,3,14,193500
1539,3,104,157500
1212,3,1,186000
2403,4,70,244400
1734,3,1,260000
1523,3,32,180000
1632,4,40,143000
980,3,32,135000
1530,3,4,260000
1502,3,77,149000
3086,3,61,200500
3228,4,15,430000
1279,3,31,171500
1850,3,2,326000
2058,3,91,129500
693,2,65,52500
1258,2,70,105000
1720,3,14,260400
1040,3,43,129500
1080,3,4,141000
848,1,5,136500
1575,2,15,179200
1336,2,53,157000
1283,3,46,140000
2263,3,29,235000
1520,3,77,159434
1784,4,92,138887
1466,3,70,170000
1626,2,7,175500
2868,4,1,556581
2157,4,40,226000
1092,2,49,141000
1358,2,4,207000
803,2,66,87000
1302,3,37,119500
1232,2,2,194500
1838,2,3,315000
1214,3,40,143000
1277,2,37,167000
1976,2,1,440000
1360,2,68,125500
904,2,83,119000
1660,3,0,290000
1522,4,80,102000
1368,3,96,114504
1208,3,29,165000
2462,4,1,320000
1098,3,53,135000
1246,3,51,154000
1095,2,48,140000
2240,6,30,142953
1506,2,0,264132
1664,4,30,162900
1350,3,35,165000
1768,3,70,175000
1640,3,5,183000
691,2,87,86000
1502,3,84,165000
1056,2,40,107000
1728,4,30,150900
2402,2,1,555000
1072,2,1,145000
960,3,42,94750
1441,2,8,174000
1652,2,0,392500
1078,3,39,149900
1504,1,4,181000
1478,2,1,222000
1872,3,8,261500
2775,3,115,325000
1968,4,1,269500
1110,1,31,165500
2184,3,1,335000
1183,2,59,120000
2614,4,34,240000
1097,3,26,152000
1646,3,1,293077
882,3,48,106500
1375,3,70,141000
2358,5,100,240000
1987,2,14,301500
999,3,45,132500
438,1,89,60000
1775,3,16,213000
1509,3,4,183200
1795,2,1,147000
1501,3,13,165600
1660,3,74,188700
1582,4,42,190000
928,3,51,112500
2008,3,58,225000
1348,3,84,117000
1308,2,69,160000
2599,4,11,333168
1750,4,68,160000
4476,4,11,745000
1595,2,66,140000
1471,3,10,172500
754,2,71,84500
968,2,84,100000
1396,3,92,153575
1363,3,100,125500
1700,3,3,200000
1558,4,57,152000
1192,3,89,78000
2398,3,11,315750
1223,2,1,147400
1074,3,31,153500
1484,2,1,265900
1694,3,0,318000
990,3,13,123600
1144,3,47,143000
2329,4,18,262280
1126,2,60,108000
1750,3,126,124000
3238,4,15,410000
2030,4,31,195000
1306,2,52,153000
1716,3,60,131000
1416,3,89,112000
1128,2,90,68400
1869,2,0,318061
