area,bedrooms,age,price
1710,3,5,208500
1262,3,31,181500
1786,3,7,223500
1717,3,91,140000
2198,4,8,250000
1362,1,16,143000
1694,3,3,307000
2090,3,36,200000
1774,2,77,129900
1077,2,69,118000
1040,3,43,129500
2324,4,1,345000
912,2,46,144000
1494,3,1,279500
1253,2,48,157000
854,2,78,132000
1004,2,40,149000
1296,2,39,90000
1114,3,4,159000
1339,3,51,139000
2376,4,1,325300
1108,3,77,139400
1795,3,6,230000
1060,3,31,129900
1060,3,42,154000
1600,3,2,256300
900,3,59,134800
1704,3,3,306000
1600,2,49,207500
520,1,81,68500
1317,3,88,40000
1228,3,42,149350
1234,3,1,179900
1700,4,51,165500
1561,2,2,277500
2452,4,2,309000
1097,3,15,145000
1297,3,55,153000
1057,3,57,109000
1152,2,53,82000
1324,3,41,160000
1328,2,48,170000
884,2,24,144000
938,3,33,130250
1150,3,47,141000
1752,2,5,319900
2149,1,6,239686
1656,3,1,249700
1452,2,89,113000
955,3,41,127000
1470,3,10,177000
1176,3,72,114500
816,2,47,110000
1360,3,52,130000
1425,3,44,180500
1739,3,10,172500
1720,3,2,196500
2945,3,0,438780
780,2,36,124900
1158,3,2,158000
1111,3,87,101000
1370,2,1,202500
1710,3,89,140000
2034,3,12,219500
2473,4,3,317000
2207,3,40,180000
1479,3,4,226000
747,2,65,80000
2287,3,53,225000
2223,3,34,244000
845,2,25,129500
1718,3,11,185000
1086,3,56,144900
1605,3,95,107400
988,2,36,91000
952,2,52,135750
1285,2,60,127000
1768,4,42,136500
1230,2,99,110000
2142,4,41,193500
1337,2,8,153500
1563,3,1,245000
1065,3,47,126500
1474,3,14,168500
2417,4,15,260000
1560,3,4,174000
1224,2,0,164500
1526,2,94,85000
990,3,13,123600
1040,2,56,109900
1235,2,45,98600
964,2,88,163500
2291,4,97,133900
1786,3,10,204750
1470,3,16,185000
1588,3,7,214000
960,3,42,94750
835,2,90,83000
1225,3,51,128950
1610,3,33,205000
1732,3,25,178000
1535,4,30,118964
1226,3,1,198900
1818,4,76,169500
1992,3,5,250000
1047,2,122,100000
789,2,60,115000
1517,3,88,115000
1844,3,33,190000
1855,4,52,136900
1430,3,10,180000
2696,4,0,383970
2259,3,54,217000
2320,3,62,259500
1458,2,8,176000
1092,3,47,139000
1125,2,1,155000
3222,5,20,320000
1456,3,1,163990
988,1,37,180000
1123,3,68,100000
1080,3,50,136000
1199,2,15,153900
1586,3,30,181000
754,2,71,84500
958,2,31,128000
840,3,77,87000
1348,3,40,155000
1053,3,48,150000
2157,4,40,226000
2054,3,9,244000
1327,3,48,150750
1296,2,8,220000
1721,3,38,180000
1682,3,38,174000
1214,3,40,143000
1959,5,18,171000
1852,3,9,230000
1764,3,12,231500
864,3,39,115000
1734,3,1,260000
1385,4,58,166000
1501,3,10,204000
1728,6,43,125000
1709,3,2,130000
875,2,78,105000
2035,3,9,222500
1080,3,4,141000
1344,3,70,115000
969,3,32,122000
1710,2,1,372402
1993,4,35,190000
1252,1,48,235000
1200,4,83,125000
1096,2,84,79000
1040,2,56,109500
1968,4,1,269500
1947,3,6,254900
2462,4,1,320000
1232,3,24,162500
2668,3,5,412500
1541,3,5,220000
882,1,51,103200
1616,3,81,152000
1355,4,68,127500
1867,2,54,190000
2161,3,0,325624
1720,3,3,183500
1707,2,25,228000
1382,2,66,128500
1656,3,50,215000
1767,2,19,239000
1362,3,47,163000
1651,3,22,184000
2158,4,57,243000
2060,4,19,211000
1920,4,48,172500
2234,1,1,501837
968,2,84,100000
1525,3,7,177000
1802,4,86,200100
1340,3,50,120000
2082,3,5,200000
1252,3,98,127000
3608,4,114,475000
1217,3,19,173000
1656,3,93,135000
1224,2,30,153337
2727,3,75,315000
1479,4,35,184000
1431,3,10,192000
1709,3,2,130000
864,3,36,127000
1456,3,33,148500
1726,3,0,311872
3112,4,88,235000
2229,5,97,104000
1713,3,5,274900
1121,2,7,140000
1279,3,31,171500
1310,2,82,112000
848,1,4,149000
1284,2,62,110000
1442,3,19,180500
1696,3,45,143900
1100,3,48,141000
2062,3,19,277000
1092,3,44,145000
864,2,83,98000
1212,3,1,186000
1852,3,0,252678
990,3,11,156000
1392,3,33,161750
1236,2,49,134450
1436,3,4,210000
1328,3,81,107000
1954,3,69,311500
1248,2,1,167240
1498,2,0,204900
2267,4,7,200000
1552,3,31,179900
864,2,38,97000
2392,3,6,386250
1302,3,38,112000
2520,4,12,290000
987,2,38,106000
912,3,43,125000
1555,2,4,192500
1194,3,51,148000
2794,4,14,403000
987,2,34,94500
894,3,34,128200
1960,4,8,216500
987,2,37,89500
1414,3,6,185500
1744,3,17,194500
1694,3,0,318000
1487,3,65,113000
1566,3,2,262500
866,2,62,110500
1440,3,106,79000
1217,3,29,120000
2110,3,16,205000
1872,3,18,241500
1928,4,96,137000
1375,2,52,140000
1668,3,4,180000
2144,4,49,277000
1306,3,70,76500
1625,2,1,235000
1640,3,4,173000
1302,3,43,158000
1314,3,53,145000
2291,4,7,230000
1728,3,5,207500
1604,3,3,220000
1792,3,7,231500
882,2,52,97000
1382,3,47,176000
2574,3,0,276000
1212,3,29,151000
1316,3,81,130000
764,2,83,73000
1422,3,27,175500
1511,3,9,185000
2192,4,69,179500
778,2,68,120500
1113,3,31,148000
1939,3,0,266000
1363,2,54,241500
2270,4,11,290000
1632,3,51,139000
816,2,25,124500
1548,3,84,205000
1560,3,7,201000
864,2,59,141000
2121,3,1,415298
2022,4,31,192000
1982,3,18,228500
1262,2,0,185000
1314,2,2,207500
1468,3,1,244600
1575,2,15,179200
1250,2,1,164700
1734,3,44,159000
858,3,35,88000
900,3,43,122000
1396,3,92,153575
1919,3,0,233230
1716,6,96,135900
1716,3,60,131000
2263,3,29,235000
1644,3,56,167000
1003,3,22,142500
1558,4,57,152000
1950,3,10,239000
1743,3,39,175000
1152,3,59,158500
1336,2,53,157000
2452,4,9,267000
1541,3,5,205000
894,3,34,149900
3493,3,128,295000
2000,3,3,305900
2243,4,17,225000
1406,3,88,89500
861,1,69,82500
1944,3,3,360000
1501,3,13,165600
972,2,61,132000
1118,3,67,119900
2036,3,44,375000
1641,3,81,178000
1432,3,5,188500
2353,4,29,260000
1959,3,1,270000
2646,4,16,260000
1472,3,29,187500
2596,4,0,342643
2468,4,3,354000
2730,4,21,301000
1163,3,51,126175
2978,5,43,242000
803,2,66,87000
1719,1,15,324000
1383,3,46,145250
2134,5,93,214500
1192,3,89,78000
1728,6,43,119000
1056,3,49,139000
1629,3,6,284000
1358,2,4,207000
1638,3,10,192000
1786,3,43,228950
1922,3,2,377426
1536,3,6,214000
1621,3,22,202500
